Tiempo_A,Analitica,Tiempo,Euler,RK4
0.0114,0.988764,0,0.88914,3.94181e-62
0.0115,0.988665,0,0.889052,1.69013e-52
0.0116,0.988566,0,0.888963,1.04043e-95
0.0117,0.988467,0,6.95335e-310,4.0792e-33
0.0118,0.988368,0,0,1.91554e-76
0.0119,0.988269,0,0,1.30353e-76
0.012,0.988171,0,0,4.84957e-33
0.0121,0.988072,0,0,1.2182e-76
0.0122,0.987973,0,0,8.05432e-96
0.0123,0.987874,0,0,6.38711e-67
0.0124,0.987775,0,0,1.0856e-95
0.0125,0.987677,6.95335e-310,0,1.21787e-76
0.0126,0.987578,1.4822e-323,0,6.81899e-38
0.0127,0.987479,0.889941,0,3.88661e-33
0.0128,0.98738,0.889852,0,1.30353e-76
0.0129,0.987282,2.20241e-317,0,4.84957e-33
0.013,0.987183,-nan,0,1.21854e-76
0.0131,0.987084,0.889585,0.88763,1.0867e-95
0.0132,0.986985,2.20242e-317,0.887541,3.50521e-33
0.0133,0.986887,0,0.887453,1.17923e-95
0.0134,0.986788,0.889318,0.887364,1.21754e-76
0.0135,0.986689,0.889229,0.887275,1.08516e-42
0.0136,0.986591,0.88914,0.887187,1.10871e-47
0.0137,0.986492,0.889052,0.887098,9.1622e-72
0.0138,0.986393,0.888963,0.887009,8.0635e-96
0.0139,0.986295,6.95335e-310,0.88692,1.6561e-47
0.014,0.986196,0,0.886832,9.95479e-43
0.0141,0.986098,0,0.886743,9.1622e-72
0.0142,0.985999,0,0.886654,1.18088e-95
0.0143,0.9859,0,0.886566,1.08557e-71
0.0144,0.985802,0,0.886477,3.66917e-62
0.0145,0.985703,0,0.886388,3.22523e-86
0.0146,0.985605,0,0.8863,2.90702e-33
0.0147,0.985506,0,0.886211,3.45301e-86
0.0148,0.985408,0,6.95335e-310,2.90254e-57
0.0149,0.985309,0,4.05578e-320,9.72822e-72
0.015,0.98521,0,8.24058e+06,9.1622e-72
0.0151,0.985112,0,9.76514e+199,7.11866e-38
0.0152,0.985013,0,3.65104e+233,1.2177e-76
0.0153,0.984915,0.88763,1.378e-94,1.08706e-95
0.0154,0.984816,0.887541,8.03966e-96,7.12457e-67
0.0155,0.984718,0.887453,3.22523e-86,9.45331e-96
0.0156,0.98462,0.887364,1.21736e-76,9.17776e-72
